GO Accession	GO Name	GO Aspect	P-value (1)	P-value (2)	Protein List (1)	Protein List (2)
GO:0006629	lipid metabolic process	biological_process	9.18E-1		lcl|c234041_g5_i1|m.19364,lcl|c235769_g7_i2|m.21324,lcl|c229507_g2_i4|m.14343,lcl|c242974_g2_i1|m.30459,lcl|c230944_g4_i1|m.15814,lcl|c205713_g1_i1|m.1484	
GO:0009201	ribonucleoside triphosphate biosynthetic process	biological_process	1E0		lcl|c229310_g3_i5|m.14143	
GO:0018193	peptidyl-amino acid modification	biological_process	1E0		lcl|c228789_g1_i1|m.13647	
GO:0007229	integrin-mediated signaling pathway	biological_process	1E0		lcl|c243429_g2_i2|m.30976,lcl|c228940_g3_i1|m.13807	
GO:0018196	peptidyl-asparagine modification	biological_process	1E0		lcl|c228789_g1_i1|m.13647	
GO:0009205	purine ribonucleoside triphosphate metabolic process	biological_process	1E0		lcl|c229342_g3_i2|m.14179,lcl|c229310_g3_i5|m.14143	
GO:0009206	purine ribonucleoside triphosphate biosynthetic process	biological_process	1E0		lcl|c229310_g3_i5|m.14143	
GO:0045454	cell redox homeostasis	biological_process	1E0		lcl|c220011_g4_i9|m.6707	
GO:0007155	cell adhesion	biological_process	1E0		lcl|c243085_g1_i3|m.30591,lcl|c241349_g1_i1|m.28471,lcl|c228221_g2_i9|m.13137	
GO:1901360	organic cyclic compound metabolic process	biological_process	1E0		lcl|c229032_g2_i3|m.13895,lcl|c218223_g3_i1|m.5642,lcl|c229342_g3_i2|m.14179,lcl|c234041_g5_i1|m.19364,lcl|c229310_g3_i5|m.14143,lcl|c240692_g2_i1|m.27612,lcl|c215616_g6_i2|m.4120	
GO:1901362	organic cyclic compound biosynthetic process	biological_process	1E0		lcl|c234041_g5_i1|m.19364,lcl|c229310_g3_i5|m.14143,lcl|c240692_g2_i1|m.27612	
GO:0048878	chemical homeostasis	biological_process	1E0		lcl|c229310_g3_i5|m.14143	
GO:0098771	inorganic ion homeostasis	biological_process	1E0		lcl|c229310_g3_i5|m.14143	
GO:0036065	fucosylation	biological_process	1E0		lcl|c228940_g3_i1|m.13807	
GO:0006139	nucleobase-containing compound metabolic process	biological_process	1E0		lcl|c229032_g2_i3|m.13895,lcl|c218223_g3_i1|m.5642,lcl|c229342_g3_i2|m.14179,lcl|c229310_g3_i5|m.14143,lcl|c240692_g2_i1|m.27612,lcl|c215616_g6_i2|m.4120	
GO:0051604	protein maturation	biological_process	1E0		lcl|c231430_g2_i12|m.16236	
GO:0008150	biological_process	biological_process	1E0		lcl|c240942_g2_i1|m.27973,lcl|c235446_g2_i1|m.20934,lcl|c222155_g2_i2|m.8140,lcl|c223345_g3_i1|m.9044,lcl|c229507_g2_i4|m.14343,lcl|c228611_g7_i1|m.13463,lcl|c205713_g1_i1|m.1484,lcl|c238399_g3_i5|m.24485,lcl|c234322_g7_i1|m.19718,lcl|c222639_g5_i2|m.8480,lcl|c229032_g2_i3|m.13895,lcl|c238399_g3_i3|m.24484,lcl|c235089_g1_i3|m.20552,lcl|c216650_g2_i1|m.4697,lcl|c232541_g3_i1|m.17498,lcl|c243791_g1_i1|m.31323,lcl|c240692_g2_i1|m.27612,lcl|c243085_g1_i3|m.30591,lcl|c218223_g3_i1|m.5642,lcl|c207931_g1_i1|m.1711,lcl|c242974_g2_i1|m.30459,lcl|c228940_g3_i1|m.13807,lcl|c227188_g1_i3|m.12224,lcl|c232242_g3_i1|m.17174,lcl|c208411_g1_i1|m.1783,lcl|c240253_g1_i1|m.26963,lcl|c239719_g1_i1|m.26241,lcl|c235901_g3_i2|m.21452,lcl|c244489_g1_i1|m.32283,lcl|c222555_g2_i4|m.8428,lcl|c243429_g2_i2|m.30976,lcl|c229310_g3_i5|m.14143,lcl|c223351_g1_i1|m.9046,lcl|c240852_g1_i3|m.27810,lcl|c231430_g2_i12|m.16236,lcl|c241349_g1_i1|m.28471,lcl|c228789_g1_i1|m.13647,lcl|c234041_g5_i1|m.19364,lcl|c221883_g2_i12|m.7953,lcl|c235548_g1_i1|m.21054,lcl|c215616_g6_i2|m.4120,lcl|c220011_g4_i9|m.6707,lcl|c227721_g2_i2|m.12707,lcl|c234898_g1_i3|m.20394,lcl|c229342_g3_i2|m.14179,lcl|c230944_g4_i1|m.15814,lcl|c237211_g6_i4|m.23025,lcl|c228221_g2_i9|m.13137,lcl|c204885_g2_i1|m.1407,lcl|c227069_g2_i12|m.12102,lcl|c232249_g2_i1|m.17180,lcl|c235769_g7_i2|m.21324,lcl|c228728_g1_i4|m.13597	
GO:0015074	DNA integration	biological_process	1E0		lcl|c229032_g2_i3|m.13895	
GO:0006163	purine nucleotide metabolic process	biological_process	1E0		lcl|c229342_g3_i2|m.14179,lcl|c229310_g3_i5|m.14143	
GO:0006694	steroid biosynthetic process	biological_process	1E0		lcl|c234041_g5_i1|m.19364	
GO:0006790	sulfur compound metabolic process	biological_process	1E0		lcl|c227188_g1_i3|m.12224	
GO:0042278	purine nucleoside metabolic process	biological_process	1E0		lcl|c229342_g3_i2|m.14179,lcl|c229310_g3_i5|m.14143	
GO:0010817	regulation of hormone levels	biological_process	1E0		lcl|c231430_g2_i12|m.16236	
GO:0019362	pyridine nucleotide metabolic process	biological_process	1E0		lcl|c229342_g3_i2|m.14179	
GO:0015672	monovalent inorganic cation transport	biological_process	1E0		lcl|c229310_g3_i5|m.14143	
GO:0007275	multicellular organismal development	biological_process	1E0		lcl|c244489_g1_i1|m.32283	
GO:0006164	purine nucleotide biosynthetic process	biological_process	1E0		lcl|c229310_g3_i5|m.14143	
GO:0046128	purine ribonucleoside metabolic process	biological_process	1E0		lcl|c229342_g3_i2|m.14179,lcl|c229310_g3_i5|m.14143	
GO:0006165	nucleoside diphosphate phosphorylation	biological_process	1E0		lcl|c229342_g3_i2|m.14179	
GO:0046129	purine ribonucleoside biosynthetic process	biological_process	1E0		lcl|c229310_g3_i5|m.14143	
GO:0009259	ribonucleotide metabolic process	biological_process	1E0		lcl|c229342_g3_i2|m.14179,lcl|c229310_g3_i5|m.14143	
GO:0009260	ribonucleotide biosynthetic process	biological_process	1E0		lcl|c229310_g3_i5|m.14143	
GO:0051639	actin filament network formation	biological_process	1E0		lcl|c222555_g2_i4|m.8428	
GO:0006725	cellular aromatic compound metabolic process	biological_process	1E0		lcl|c229032_g2_i3|m.13895,lcl|c218223_g3_i1|m.5642,lcl|c229342_g3_i2|m.14179,lcl|c229310_g3_i5|m.14143,lcl|c240692_g2_i1|m.27612,lcl|c215616_g6_i2|m.4120	
GO:0051641	cellular localization	biological_process	1E0		lcl|c235089_g1_i3|m.20552,lcl|c207931_g1_i1|m.1711	
GO:0008152	metabolic process	biological_process	1E0		lcl|c244489_g1_i1|m.32283,lcl|c235446_g2_i1|m.20934,lcl|c222155_g2_i2|m.8140,lcl|c243429_g2_i2|m.30976,lcl|c223345_g3_i1|m.9044,lcl|c229507_g2_i4|m.14343,lcl|c229310_g3_i5|m.14143,lcl|c223351_g1_i1|m.9046,lcl|c240852_g1_i3|m.27810,lcl|c228611_g7_i1|m.13463,lcl|c205713_g1_i1|m.1484,lcl|c231430_g2_i12|m.16236,lcl|c229032_g2_i3|m.13895,lcl|c228789_g1_i1|m.13647,lcl|c216650_g2_i1|m.4697,lcl|c232541_g3_i1|m.17498,lcl|c234041_g5_i1|m.19364,lcl|c221883_g2_i12|m.7953,lcl|c243791_g1_i1|m.31323,lcl|c240692_g2_i1|m.27612,lcl|c235548_g1_i1|m.21054,lcl|c215616_g6_i2|m.4120,lcl|c218223_g3_i1|m.5642,lcl|c227721_g2_i2|m.12707,lcl|c234898_g1_i3|m.20394,lcl|c229342_g3_i2|m.14179,lcl|c242974_g2_i1|m.30459,lcl|c230944_g4_i1|m.15814,lcl|c228940_g3_i1|m.13807,lcl|c227188_g1_i3|m.12224,lcl|c232242_g3_i1|m.17174,lcl|c232249_g2_i1|m.17180,lcl|c235769_g7_i2|m.21324,lcl|c240253_g1_i1|m.26963,lcl|c239719_g1_i1|m.26241,lcl|c228728_g1_i4|m.13597	
GO:0060177	regulation of angiotensin metabolic process	biological_process	1E0		lcl|c231430_g2_i12|m.16236	
GO:0006732	coenzyme metabolic process	biological_process	1E0		lcl|c229342_g3_i2|m.14179,lcl|c227188_g1_i3|m.12224	
GO:0051649	establishment of localization in cell	biological_process	1E0		lcl|c235089_g1_i3|m.20552,lcl|c207931_g1_i1|m.1711	
GO:0006733	oxidoreduction coenzyme metabolic process	biological_process	1E0		lcl|c229342_g3_i2|m.14179	
GO:1903506	regulation of nucleic acid-templated transcription	biological_process	1E0		lcl|c235901_g3_i2|m.21452	
GO:1903507	negative regulation of nucleic acid-templated transcription	biological_process	1E0		lcl|c235901_g3_i2|m.21452	
GO:0016192	vesicle-mediated transport	biological_process	1E0		lcl|c235089_g1_i3|m.20552	
GO:0007165	signal transduction	biological_process	1E0		lcl|c222155_g2_i2|m.8140,lcl|c243429_g2_i2|m.30976,lcl|c237211_g6_i4|m.23025,lcl|c228940_g3_i1|m.13807	
GO:0090662	ATP hydrolysis coupled transmembrane transport	biological_process	1E0		lcl|c229310_g3_i5|m.14143	
GO:0018279	protein N-linked glycosylation via asparagine	biological_process	1E0		lcl|c228789_g1_i1|m.13647	
GO:0008202	steroid metabolic process	biological_process	1E0		lcl|c234041_g5_i1|m.19364	
GO:0007010	cytoskeleton organization	biological_process	1E0		lcl|c222639_g5_i2|m.8480,lcl|c222555_g2_i4|m.8428	
GO:0006753	nucleoside phosphate metabolic process	biological_process	1E0		lcl|c229342_g3_i2|m.14179,lcl|c229310_g3_i5|m.14143	
GO:0006754	ATP biosynthetic process	biological_process	1E0		lcl|c229310_g3_i5|m.14143	
GO:0006757	ATP generation from ADP	biological_process	1E0		lcl|c229342_g3_i2|m.14179	
GO:0065003	macromolecular complex assembly	biological_process	1E0		lcl|c208411_g1_i1|m.1783,lcl|c229310_g3_i5|m.14143,lcl|c240692_g2_i1|m.27612	
GO:0010876	lipid localization	biological_process	1E0		lcl|c227069_g2_i12|m.12102	
GO:0065004	protein-DNA complex assembly	biological_process	1E0		lcl|c240692_g2_i1|m.27612	
GO:0008217	regulation of blood pressure	biological_process	1E0		lcl|c231430_g2_i12|m.16236	
GO:0065007	biological regulation	biological_process	1E0		lcl|c235901_g3_i2|m.21452,lcl|c231430_g2_i12|m.16236,lcl|c220011_g4_i9|m.6707,lcl|c222155_g2_i2|m.8140,lcl|c243429_g2_i2|m.30976,lcl|c204885_g2_i1|m.1407,lcl|c229310_g3_i5|m.14143,lcl|c237211_g6_i4|m.23025,lcl|c228940_g3_i1|m.13807	
GO:0065008	regulation of biological quality	biological_process	1E0		lcl|c231430_g2_i12|m.16236,lcl|c220011_g4_i9|m.6707,lcl|c229310_g3_i5|m.14143	
GO:0016310	phosphorylation	biological_process	1E0		lcl|c229342_g3_i2|m.14179	
GO:0065009	regulation of molecular function	biological_process	1E0		lcl|c204885_g2_i1|m.1407,lcl|c237211_g6_i4|m.23025	
GO:0051276	chromosome organization	biological_process	1E0		lcl|c235901_g3_i2|m.21452,lcl|c240692_g2_i1|m.27612	
GO:0033036	macromolecule localization	biological_process	1E0		lcl|c235089_g1_i3|m.20552,lcl|c227069_g2_i12|m.12102,lcl|c207931_g1_i1|m.1711	
GO:0007017	microtubule-based process	biological_process	1E0		lcl|c222639_g5_i2|m.8480	
GO:0031497	chromatin assembly	biological_process	1E0		lcl|c240692_g2_i1|m.27612	
GO:0032501	multicellular organismal process	biological_process	1E0		lcl|c231430_g2_i12|m.16236,lcl|c244489_g1_i1|m.32283	
GO:0032502	developmental process	biological_process	1E0		lcl|c244489_g1_i1|m.32283	
GO:0019438	aromatic compound biosynthetic process	biological_process	1E0		lcl|c229310_g3_i5|m.14143,lcl|c240692_g2_i1|m.27612	
GO:0051260	protein homooligomerization	biological_process	1E0		lcl|c208411_g1_i1|m.1783	
GO:0006793	phosphorus metabolic process	biological_process	1E0		lcl|c229342_g3_i2|m.14179,lcl|c229310_g3_i5|m.14143,lcl|c227188_g1_i3|m.12224	
GO:0006796	phosphate-containing compound metabolic process	biological_process	1E0		lcl|c229342_g3_i2|m.14179,lcl|c229310_g3_i5|m.14143	
GO:0051716	cellular response to stimulus	biological_process	1E0		lcl|c222155_g2_i2|m.8140,lcl|c243429_g2_i2|m.30976,lcl|c237211_g6_i4|m.23025,lcl|c228940_g3_i1|m.13807	
GO:0043933	macromolecular complex subunit organization	biological_process	1E0		lcl|c208411_g1_i1|m.1783,lcl|c235901_g3_i2|m.21452,lcl|c222555_g2_i4|m.8428,lcl|c229310_g3_i5|m.14143,lcl|c240692_g2_i1|m.27612	
GO:0034613	cellular protein localization	biological_process	1E0		lcl|c235089_g1_i3|m.20552,lcl|c207931_g1_i1|m.1711	
GO:0006807	nitrogen compound metabolic process	biological_process	1E0		lcl|c231430_g2_i12|m.16236,lcl|c229032_g2_i3|m.13895,lcl|c218223_g3_i1|m.5642,lcl|c227721_g2_i2|m.12707,lcl|c232541_g3_i1|m.17498,lcl|c229342_g3_i2|m.14179,lcl|c229310_g3_i5|m.14143,lcl|c223351_g1_i1|m.9046,lcl|c240692_g2_i1|m.27612,lcl|c215616_g6_i2|m.4120	
GO:0006810	transport	biological_process	1E0		lcl|c238399_g3_i5|m.24485,lcl|c234322_g7_i1|m.19718,lcl|c240942_g2_i1|m.27973,lcl|c238399_g3_i3|m.24484,lcl|c235089_g1_i3|m.20552,lcl|c227069_g2_i12|m.12102,lcl|c207931_g1_i1|m.1711,lcl|c229310_g3_i5|m.14143	
GO:0006811	ion transport	biological_process	1E0		lcl|c240942_g2_i1|m.27973,lcl|c229310_g3_i5|m.14143	
GO:0043412	macromolecule modification	biological_process	1E0		lcl|c228789_g1_i1|m.13647,lcl|c228940_g3_i1|m.13807	
GO:0006812	cation transport	biological_process	1E0		lcl|c240942_g2_i1|m.27973,lcl|c229310_g3_i5|m.14143	
GO:0008104	protein localization	biological_process	1E0		lcl|c235089_g1_i3|m.20552,lcl|c207931_g1_i1|m.1711	
GO:0034622	cellular macromolecular complex assembly	biological_process	1E0		lcl|c229310_g3_i5|m.14143,lcl|c240692_g2_i1|m.27612	
GO:0043413	macromolecule glycosylation	biological_process	1E0		lcl|c228789_g1_i1|m.13647,lcl|c228940_g3_i1|m.13807	
GO:0060255	regulation of macromolecule metabolic process	biological_process	1E0		lcl|c235901_g3_i2|m.21452,lcl|c231430_g2_i12|m.16236	
GO:0022607	cellular component assembly	biological_process	1E0		lcl|c208411_g1_i1|m.1783,lcl|c222555_g2_i4|m.8428,lcl|c229310_g3_i5|m.14143,lcl|c240692_g2_i1|m.27612	
GO:0009889	regulation of biosynthetic process	biological_process	1E0		lcl|c235901_g3_i2|m.21452	
GO:0009890	negative regulation of biosynthetic process	biological_process	1E0		lcl|c235901_g3_i2|m.21452	
GO:0009892	negative regulation of metabolic process	biological_process	1E0		lcl|c235901_g3_i2|m.21452	
GO:0006818	hydrogen transport	biological_process	1E0		lcl|c229310_g3_i5|m.14143	
GO:0006259	DNA metabolic process	biological_process	1E0		lcl|c229032_g2_i3|m.13895	
GO:0051171	regulation of nitrogen compound metabolic process	biological_process	1E0		lcl|c235901_g3_i2|m.21452	
GO:0051172	negative regulation of nitrogen compound metabolic process	biological_process	1E0		lcl|c235901_g3_i2|m.21452	
GO:0030001	metal ion transport	biological_process	1E0		lcl|c240942_g2_i1|m.27973	
GO:0051179	localization	biological_process	1E0		lcl|c238399_g3_i5|m.24485,lcl|c234322_g7_i1|m.19718,lcl|c240942_g2_i1|m.27973,lcl|c238399_g3_i3|m.24484,lcl|c235089_g1_i3|m.20552,lcl|c227069_g2_i12|m.12102,lcl|c207931_g1_i1|m.1711,lcl|c229310_g3_i5|m.14143	
GO:0071616	acyl-CoA biosynthetic process	biological_process	1E0		lcl|c227188_g1_i3|m.12224	
GO:0034641	cellular nitrogen compound metabolic process	biological_process	1E0		lcl|c231430_g2_i12|m.16236,lcl|c229032_g2_i3|m.13895,lcl|c218223_g3_i1|m.5642,lcl|c227721_g2_i2|m.12707,lcl|c232541_g3_i1|m.17498,lcl|c229342_g3_i2|m.14179,lcl|c229310_g3_i5|m.14143,lcl|c240692_g2_i1|m.27612,lcl|c215616_g6_i2|m.4120	
GO:0071103	DNA conformation change	biological_process	1E0		lcl|c240692_g2_i1|m.27612	
GO:0036211	protein modification process	biological_process	1E0		lcl|c228789_g1_i1|m.13647,lcl|c228940_g3_i1|m.13807	
GO:0051186	cofactor metabolic process	biological_process	1E0		lcl|c229342_g3_i2|m.14179,lcl|c227188_g1_i3|m.12224	
GO:0051188	cofactor biosynthetic process	biological_process	1E0		lcl|c227188_g1_i3|m.12224	
GO:0043436	oxoacid metabolic process	biological_process	1E0		lcl|c223345_g3_i1|m.9044,lcl|c229342_g3_i2|m.14179,lcl|c223351_g1_i1|m.9046,lcl|c227188_g1_i3|m.12224	
GO:0034645	cellular macromolecule biosynthetic process	biological_process	1E0		lcl|c228789_g1_i1|m.13647,lcl|c227721_g2_i2|m.12707,lcl|c232541_g3_i1|m.17498,lcl|c240692_g2_i1|m.27612,lcl|c228940_g3_i1|m.13807	
GO:0070070	proton-transporting V-type ATPase complex assembly	biological_process	1E0		lcl|c229310_g3_i5|m.14143	
