GO Accession	GO Name	GO Aspect	P-value (1)	P-value (2)	Protein List (1)	Protein List (2)
GO:0006119	oxidative phosphorylation	biological_process	1E0		lcl|c241114_g1_i2|m.28195,lcl|c220936_g1_i1|m.7247	
GO:0031328	positive regulation of cellular biosynthetic process	biological_process	1E0		lcl|c228453_g2_i2|m.13342,lcl|c223077_g2_i1|m.8858	
GO:0031329	regulation of cellular catabolic process	biological_process	1E0		lcl|c223425_g3_i3|m.9106,lcl|c204019_g3_i1|m.1367,lcl|c223433_g6_i1|m.9115,lcl|c204019_g1_i1|m.1366	
GO:0031331	positive regulation of cellular catabolic process	biological_process	1E0		lcl|c223425_g3_i3|m.9106,lcl|c204019_g3_i1|m.1367,lcl|c223433_g6_i1|m.9115,lcl|c204019_g1_i1|m.1366	
GO:1903963	arachidonate transport	biological_process	1E0		lcl|c209513_g1_i2|m.1987	
GO:0031333	negative regulation of protein complex assembly	biological_process	1E0		lcl|c221753_g3_i7|m.7844	
GO:0031334	positive regulation of protein complex assembly	biological_process	1E0		lcl|c221753_g3_i7|m.7844,lcl|c225590_g2_i4|m.10752	
GO:0045454	cell redox homeostasis	biological_process	1E0		lcl|c243086_g4_i2|m.30593,lcl|c177410_g1_i1|m.597,lcl|c244255_g3_i1|m.31943	
GO:0022900	electron transport chain	biological_process	1E0		lcl|c235743_g4_i1|m.21296,lcl|c241114_g1_i2|m.28195,lcl|c177410_g1_i1|m.597,lcl|c220936_g1_i1|m.7247,lcl|c221967_g2_i3|m.8016	
GO:0052646	alditol phosphate metabolic process	biological_process	1E0		lcl|c229561_g1_i12|m.14408	
GO:1901879	regulation of protein depolymerization	biological_process	1E0		lcl|c221753_g3_i7|m.7844	
GO:1901880	negative regulation of protein depolymerization	biological_process	1E0		lcl|c221753_g3_i7|m.7844	
